16:28:34 [ultranest] [DEBUG] ReactiveNestedSampler: dims=5+0, resume=False, log_dir=calibration/fit/PCB 114/run1, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
16:28:57 [ultranest] [INFO] Sampling 400 live points from prior ...
17:12:02 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
17:12:02 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
17:12:02 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
17:13:08 [ultranest] [DEBUG] iteration=0, ncalls=401, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-1566.19, Lmax=-20.86
17:13:18 [ultranest] [DEBUG] iteration=1, ncalls=402, regioncalls=80, ndraw=40, logz=-1572.18, remainder_fraction=100.0000%, Lmin=-1198.21, Lmax=-20.86
17:13:27 [ultranest] [DEBUG] iteration=2, ncalls=403, regioncalls=120, ndraw=40, logz=-1204.20, remainder_fraction=100.0000%, Lmin=-1138.44, Lmax=-20.86
17:13:46 [ultranest] [DEBUG] iteration=3, ncalls=404, regioncalls=160, ndraw=40, logz=-1144.43, remainder_fraction=100.0000%, Lmin=-1072.10, Lmax=-20.86
17:13:56 [ultranest] [DEBUG] iteration=4, ncalls=405, regioncalls=200, ndraw=40, logz=-1078.10, remainder_fraction=100.0000%, Lmin=-721.34, Lmax=-20.86
17:14:06 [ultranest] [DEBUG] iteration=5, ncalls=406, regioncalls=240, ndraw=40, logz=-727.34, remainder_fraction=100.0000%, Lmin=-712.76, Lmax=-20.86
17:14:24 [ultranest] [DEBUG] iteration=6, ncalls=407, regioncalls=280, ndraw=40, logz=-718.76, remainder_fraction=100.0000%, Lmin=-683.77, Lmax=-20.86
17:14:34 [ultranest] [DEBUG] iteration=7, ncalls=408, regioncalls=320, ndraw=40, logz=-689.77, remainder_fraction=100.0000%, Lmin=-670.45, Lmax=-20.86
17:14:44 [ultranest] [DEBUG] iteration=8, ncalls=409, regioncalls=360, ndraw=40, logz=-676.46, remainder_fraction=100.0000%, Lmin=-669.27, Lmax=-20.86
17:15:00 [ultranest] [DEBUG] iteration=9, ncalls=410, regioncalls=400, ndraw=40, logz=-675.01, remainder_fraction=100.0000%, Lmin=-664.45, Lmax=-20.86
17:15:11 [ultranest] [DEBUG] iteration=10, ncalls=411, regioncalls=440, ndraw=40, logz=-670.46, remainder_fraction=100.0000%, Lmin=-655.78, Lmax=-20.86
17:15:21 [ultranest] [DEBUG] iteration=11, ncalls=412, regioncalls=480, ndraw=40, logz=-661.80, remainder_fraction=100.0000%, Lmin=-652.39, Lmax=-20.86
17:15:38 [ultranest] [DEBUG] iteration=12, ncalls=413, regioncalls=520, ndraw=40, logz=-658.37, remainder_fraction=100.0000%, Lmin=-652.03, Lmax=-20.86
17:15:50 [ultranest] [DEBUG] iteration=13, ncalls=414, regioncalls=560, ndraw=40, logz=-657.51, remainder_fraction=100.0000%, Lmin=-650.07, Lmax=-20.86
17:16:07 [ultranest] [DEBUG] iteration=14, ncalls=416, regioncalls=640, ndraw=40, logz=-655.88, remainder_fraction=100.0000%, Lmin=-645.84, Lmax=-20.86
17:16:24 [ultranest] [DEBUG] iteration=15, ncalls=417, regioncalls=680, ndraw=40, logz=-651.85, remainder_fraction=100.0000%, Lmin=-636.47, Lmax=-20.86
17:16:35 [ultranest] [DEBUG] iteration=16, ncalls=418, regioncalls=720, ndraw=40, logz=-642.50, remainder_fraction=100.0000%, Lmin=-611.78, Lmax=-20.86
17:16:52 [ultranest] [DEBUG] iteration=17, ncalls=419, regioncalls=760, ndraw=40, logz=-617.81, remainder_fraction=100.0000%, Lmin=-598.23, Lmax=-20.86
17:17:03 [ultranest] [DEBUG] iteration=18, ncalls=420, regioncalls=800, ndraw=40, logz=-604.27, remainder_fraction=100.0000%, Lmin=-595.34, Lmax=-20.86
17:17:14 [ultranest] [DEBUG] iteration=19, ncalls=421, regioncalls=840, ndraw=40, logz=-601.32, remainder_fraction=100.0000%, Lmin=-586.23, Lmax=-20.86
17:17:25 [ultranest] [DEBUG] iteration=20, ncalls=422, regioncalls=880, ndraw=40, logz=-592.27, remainder_fraction=100.0000%, Lmin=-580.16, Lmax=-20.86
17:17:36 [ultranest] [DEBUG] iteration=21, ncalls=423, regioncalls=920, ndraw=40, logz=-586.20, remainder_fraction=100.0000%, Lmin=-561.78, Lmax=-20.86
17:17:46 [ultranest] [DEBUG] iteration=22, ncalls=424, regioncalls=960, ndraw=40, logz=-567.82, remainder_fraction=100.0000%, Lmin=-559.84, Lmax=-20.86
17:17:56 [ultranest] [DEBUG] iteration=23, ncalls=425, regioncalls=1000, ndraw=40, logz=-565.75, remainder_fraction=100.0000%, Lmin=-555.03, Lmax=-20.86
17:18:15 [ultranest] [DEBUG] iteration=24, ncalls=427, regioncalls=1080, ndraw=40, logz=-561.07, remainder_fraction=100.0000%, Lmin=-553.94, Lmax=-20.86
17:18:25 [ultranest] [DEBUG] iteration=25, ncalls=428, regioncalls=1120, ndraw=40, logz=-559.70, remainder_fraction=100.0000%, Lmin=-541.77, Lmax=-20.86
17:18:35 [ultranest] [DEBUG] iteration=26, ncalls=429, regioncalls=1160, ndraw=40, logz=-547.83, remainder_fraction=100.0000%, Lmin=-537.54, Lmax=-20.86
17:18:44 [ultranest] [DEBUG] iteration=27, ncalls=430, regioncalls=1200, ndraw=40, logz=-543.59, remainder_fraction=100.0000%, Lmin=-535.99, Lmax=-20.86
17:18:54 [ultranest] [DEBUG] iteration=28, ncalls=431, regioncalls=1240, ndraw=40, logz=-541.86, remainder_fraction=100.0000%, Lmin=-507.90, Lmax=-20.86
17:19:03 [ultranest] [DEBUG] iteration=29, ncalls=432, regioncalls=1280, ndraw=40, logz=-513.96, remainder_fraction=100.0000%, Lmin=-502.94, Lmax=-20.86
17:19:13 [ultranest] [DEBUG] iteration=30, ncalls=433, regioncalls=1320, ndraw=40, logz=-509.00, remainder_fraction=100.0000%, Lmin=-491.93, Lmax=-20.86
17:19:23 [ultranest] [DEBUG] iteration=31, ncalls=434, regioncalls=1360, ndraw=40, logz=-498.00, remainder_fraction=100.0000%, Lmin=-491.33, Lmax=-20.86
17:19:34 [ultranest] [DEBUG] iteration=32, ncalls=435, regioncalls=1400, ndraw=40, logz=-496.96, remainder_fraction=100.0000%, Lmin=-489.48, Lmax=-20.86
17:19:43 [ultranest] [DEBUG] iteration=33, ncalls=436, regioncalls=1440, ndraw=40, logz=-495.33, remainder_fraction=100.0000%, Lmin=-487.69, Lmax=-20.86
17:19:52 [ultranest] [DEBUG] iteration=34, ncalls=437, regioncalls=1480, ndraw=40, logz=-493.58, remainder_fraction=100.0000%, Lmin=-486.93, Lmax=-20.86
17:20:02 [ultranest] [DEBUG] iteration=35, ncalls=438, regioncalls=1520, ndraw=40, logz=-492.56, remainder_fraction=100.0000%, Lmin=-477.84, Lmax=-20.86
17:20:11 [ultranest] [DEBUG] iteration=36, ncalls=439, regioncalls=1560, ndraw=40, logz=-483.92, remainder_fraction=100.0000%, Lmin=-475.64, Lmax=-20.86
17:20:22 [ultranest] [DEBUG] iteration=37, ncalls=440, regioncalls=1600, ndraw=40, logz=-481.62, remainder_fraction=100.0000%, Lmin=-471.95, Lmax=-20.86
17:20:31 [ultranest] [DEBUG] iteration=38, ncalls=441, regioncalls=1640, ndraw=40, logz=-478.01, remainder_fraction=100.0000%, Lmin=-464.45, Lmax=-20.86
17:20:41 [ultranest] [DEBUG] iteration=39, ncalls=442, regioncalls=1680, ndraw=40, logz=-470.54, remainder_fraction=100.0000%, Lmin=-458.97, Lmax=-20.86
17:20:50 [ultranest] [DEBUG] iteration=40, ncalls=443, regioncalls=1720, ndraw=40, logz=-465.05, remainder_fraction=100.0000%, Lmin=-447.84, Lmax=-20.86
17:21:01 [ultranest] [DEBUG] iteration=41, ncalls=444, regioncalls=1760, ndraw=40, logz=-453.94, remainder_fraction=100.0000%, Lmin=-441.80, Lmax=-20.86
17:21:10 [ultranest] [DEBUG] iteration=42, ncalls=445, regioncalls=1800, ndraw=40, logz=-447.89, remainder_fraction=100.0000%, Lmin=-441.36, Lmax=-20.86
17:21:21 [ultranest] [DEBUG] iteration=43, ncalls=446, regioncalls=1840, ndraw=40, logz=-446.96, remainder_fraction=100.0000%, Lmin=-441.11, Lmax=-20.86
17:21:32 [ultranest] [DEBUG] iteration=44, ncalls=447, regioncalls=1880, ndraw=40, logz=-446.39, remainder_fraction=100.0000%, Lmin=-437.05, Lmax=-20.86
17:21:41 [ultranest] [DEBUG] iteration=45, ncalls=448, regioncalls=1920, ndraw=40, logz=-443.12, remainder_fraction=100.0000%, Lmin=-430.92, Lmax=-20.86
17:21:59 [ultranest] [DEBUG] iteration=46, ncalls=450, regioncalls=2000, ndraw=40, logz=-437.03, remainder_fraction=100.0000%, Lmin=-426.82, Lmax=-20.86
17:22:09 [ultranest] [DEBUG] iteration=47, ncalls=451, regioncalls=2040, ndraw=40, logz=-432.91, remainder_fraction=100.0000%, Lmin=-424.95, Lmax=-20.86
17:22:25 [ultranest] [DEBUG] iteration=48, ncalls=453, regioncalls=2120, ndraw=40, logz=-430.91, remainder_fraction=100.0000%, Lmin=-424.91, Lmax=-20.86
17:22:36 [ultranest] [DEBUG] iteration=49, ncalls=454, regioncalls=2160, ndraw=40, logz=-430.27, remainder_fraction=100.0000%, Lmin=-424.13, Lmax=-20.86
17:22:46 [ultranest] [DEBUG] iteration=50, ncalls=455, regioncalls=2200, ndraw=40, logz=-429.57, remainder_fraction=100.0000%, Lmin=-419.89, Lmax=-20.86
17:22:56 [ultranest] [DEBUG] iteration=51, ncalls=456, regioncalls=2240, ndraw=40, logz=-425.98, remainder_fraction=100.0000%, Lmin=-419.38, Lmax=-20.86
17:23:12 [ultranest] [DEBUG] iteration=52, ncalls=457, regioncalls=2280, ndraw=40, logz=-425.02, remainder_fraction=100.0000%, Lmin=-419.33, Lmax=-20.86
17:23:23 [ultranest] [DEBUG] iteration=53, ncalls=458, regioncalls=2320, ndraw=40, logz=-424.52, remainder_fraction=100.0000%, Lmin=-418.75, Lmax=-20.86
17:23:38 [ultranest] [DEBUG] iteration=54, ncalls=459, regioncalls=2360, ndraw=40, logz=-423.99, remainder_fraction=100.0000%, Lmin=-416.58, Lmax=-20.86
17:23:47 [ultranest] [DEBUG] iteration=55, ncalls=460, regioncalls=2400, ndraw=40, logz=-422.46, remainder_fraction=100.0000%, Lmin=-412.92, Lmax=-20.86
17:23:58 [ultranest] [DEBUG] iteration=56, ncalls=461, regioncalls=2440, ndraw=40, logz=-419.02, remainder_fraction=100.0000%, Lmin=-411.90, Lmax=-20.86
17:24:08 [ultranest] [DEBUG] iteration=57, ncalls=462, regioncalls=2480, ndraw=40, logz=-417.71, remainder_fraction=100.0000%, Lmin=-411.05, Lmax=-20.86
17:24:24 [ultranest] [DEBUG] iteration=58, ncalls=463, regioncalls=2520, ndraw=40, logz=-416.72, remainder_fraction=100.0000%, Lmin=-410.87, Lmax=-20.86
17:24:39 [ultranest] [DEBUG] iteration=59, ncalls=465, regioncalls=2600, ndraw=40, logz=-416.16, remainder_fraction=100.0000%, Lmin=-399.96, Lmax=-20.86
17:24:56 [ultranest] [DEBUG] iteration=60, ncalls=466, regioncalls=2640, ndraw=40, logz=-406.10, remainder_fraction=100.0000%, Lmin=-399.23, Lmax=-20.86
17:25:06 [ultranest] [DEBUG] iteration=61, ncalls=467, regioncalls=2680, ndraw=40, logz=-404.98, remainder_fraction=100.0000%, Lmin=-394.92, Lmax=-20.86
17:25:15 [ultranest] [DEBUG] iteration=62, ncalls=468, regioncalls=2720, ndraw=40, logz=-401.04, remainder_fraction=100.0000%, Lmin=-393.47, Lmax=-20.86
17:25:25 [ultranest] [DEBUG] iteration=63, ncalls=469, regioncalls=2760, ndraw=40, logz=-399.40, remainder_fraction=100.0000%, Lmin=-390.15, Lmax=-20.86
17:25:35 [ultranest] [DEBUG] iteration=64, ncalls=470, regioncalls=2800, ndraw=40, logz=-396.26, remainder_fraction=100.0000%, Lmin=-389.94, Lmax=-20.86
17:25:43 [ultranest] [DEBUG] iteration=65, ncalls=471, regioncalls=2840, ndraw=40, logz=-395.48, remainder_fraction=100.0000%, Lmin=-388.48, Lmax=-20.86
