09:03:13 [ultranest] [DEBUG] ReactiveNestedSampler: dims=5+0, resume=False, log_dir=calibration/fit/PCB 81/run1, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
09:03:29 [ultranest] [INFO] Sampling 400 live points from prior ...
09:52:16 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
09:52:16 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
09:52:16 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
09:52:25 [ultranest] [DEBUG] iteration=0, ncalls=401, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-722.93, Lmax=-7.15
09:52:32 [ultranest] [DEBUG] iteration=1, ncalls=402, regioncalls=80, ndraw=40, logz=-728.92, remainder_fraction=100.0000%, Lmin=-642.33, Lmax=-7.15
09:52:41 [ultranest] [DEBUG] iteration=2, ncalls=403, regioncalls=120, ndraw=40, logz=-648.32, remainder_fraction=100.0000%, Lmin=-365.61, Lmax=-7.15
09:52:48 [ultranest] [DEBUG] iteration=3, ncalls=404, regioncalls=160, ndraw=40, logz=-371.61, remainder_fraction=100.0000%, Lmin=-352.43, Lmax=-7.15
09:52:55 [ultranest] [DEBUG] iteration=4, ncalls=405, regioncalls=200, ndraw=40, logz=-358.43, remainder_fraction=100.0000%, Lmin=-351.73, Lmax=-7.15
09:53:03 [ultranest] [DEBUG] iteration=5, ncalls=406, regioncalls=240, ndraw=40, logz=-357.33, remainder_fraction=100.0000%, Lmin=-316.33, Lmax=-7.15
09:53:11 [ultranest] [DEBUG] iteration=6, ncalls=407, regioncalls=280, ndraw=40, logz=-322.34, remainder_fraction=100.0000%, Lmin=-314.74, Lmax=-7.15
09:53:19 [ultranest] [DEBUG] iteration=7, ncalls=408, regioncalls=320, ndraw=40, logz=-320.56, remainder_fraction=100.0000%, Lmin=-311.05, Lmax=-7.15
09:53:27 [ultranest] [DEBUG] iteration=8, ncalls=409, regioncalls=360, ndraw=40, logz=-317.03, remainder_fraction=100.0000%, Lmin=-309.43, Lmax=-7.15
09:53:35 [ultranest] [DEBUG] iteration=9, ncalls=410, regioncalls=400, ndraw=40, logz=-315.26, remainder_fraction=100.0000%, Lmin=-309.08, Lmax=-7.15
09:53:43 [ultranest] [DEBUG] iteration=10, ncalls=411, regioncalls=440, ndraw=40, logz=-314.48, remainder_fraction=100.0000%, Lmin=-276.80, Lmax=-7.15
