10:00:11 [ultranest] [DEBUG] ReactiveNestedSampler: dims=5+0, resume=False, log_dir=calibration/fit/PCB 126/run1, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
10:00:30 [ultranest] [INFO] Sampling 400 live points from prior ...
10:55:20 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
10:55:20 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
10:55:20 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
10:55:27 [ultranest] [DEBUG] iteration=0, ncalls=401, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-1595.75, Lmax=-25.35
10:55:37 [ultranest] [DEBUG] iteration=1, ncalls=402, regioncalls=80, ndraw=40, logz=-1601.74, remainder_fraction=100.0000%, Lmin=-1550.27, Lmax=-25.35
10:55:45 [ultranest] [DEBUG] iteration=2, ncalls=403, regioncalls=120, ndraw=40, logz=-1556.26, remainder_fraction=100.0000%, Lmin=-1535.85, Lmax=-25.35
10:55:55 [ultranest] [DEBUG] iteration=3, ncalls=404, regioncalls=160, ndraw=40, logz=-1541.85, remainder_fraction=100.0000%, Lmin=-1301.18, Lmax=-25.35
10:56:03 [ultranest] [DEBUG] iteration=4, ncalls=405, regioncalls=200, ndraw=40, logz=-1307.18, remainder_fraction=100.0000%, Lmin=-1015.00, Lmax=-25.35
10:56:12 [ultranest] [DEBUG] iteration=5, ncalls=406, regioncalls=240, ndraw=40, logz=-1021.00, remainder_fraction=100.0000%, Lmin=-948.03, Lmax=-25.35
10:56:20 [ultranest] [DEBUG] iteration=6, ncalls=407, regioncalls=280, ndraw=40, logz=-954.03, remainder_fraction=100.0000%, Lmin=-895.26, Lmax=-25.35
10:56:29 [ultranest] [DEBUG] iteration=7, ncalls=408, regioncalls=320, ndraw=40, logz=-901.27, remainder_fraction=100.0000%, Lmin=-881.10, Lmax=-14.07
10:56:36 [ultranest] [DEBUG] iteration=8, ncalls=409, regioncalls=360, ndraw=40, logz=-887.11, remainder_fraction=100.0000%, Lmin=-848.20, Lmax=-14.07
10:56:46 [ultranest] [DEBUG] iteration=9, ncalls=410, regioncalls=400, ndraw=40, logz=-854.21, remainder_fraction=100.0000%, Lmin=-745.82, Lmax=-14.07
10:56:55 [ultranest] [DEBUG] iteration=10, ncalls=411, regioncalls=440, ndraw=40, logz=-751.83, remainder_fraction=100.0000%, Lmin=-703.93, Lmax=-14.07
10:57:03 [ultranest] [DEBUG] iteration=11, ncalls=412, regioncalls=480, ndraw=40, logz=-709.95, remainder_fraction=100.0000%, Lmin=-701.45, Lmax=-14.07
10:57:11 [ultranest] [DEBUG] iteration=12, ncalls=413, regioncalls=520, ndraw=40, logz=-707.39, remainder_fraction=100.0000%, Lmin=-697.47, Lmax=-14.07
10:57:21 [ultranest] [DEBUG] iteration=13, ncalls=414, regioncalls=560, ndraw=40, logz=-703.47, remainder_fraction=100.0000%, Lmin=-680.85, Lmax=-14.07
10:57:30 [ultranest] [DEBUG] iteration=14, ncalls=415, regioncalls=600, ndraw=40, logz=-686.87, remainder_fraction=100.0000%, Lmin=-662.29, Lmax=-14.07
10:57:40 [ultranest] [DEBUG] iteration=15, ncalls=416, regioncalls=640, ndraw=40, logz=-668.32, remainder_fraction=100.0000%, Lmin=-656.29, Lmax=-14.07
10:57:47 [ultranest] [DEBUG] iteration=16, ncalls=417, regioncalls=680, ndraw=40, logz=-662.32, remainder_fraction=100.0000%, Lmin=-618.51, Lmax=-14.07
10:57:56 [ultranest] [DEBUG] iteration=17, ncalls=418, regioncalls=720, ndraw=40, logz=-624.54, remainder_fraction=100.0000%, Lmin=-612.70, Lmax=-14.07
10:58:04 [ultranest] [DEBUG] iteration=18, ncalls=419, regioncalls=760, ndraw=40, logz=-618.73, remainder_fraction=100.0000%, Lmin=-608.13, Lmax=-14.07
10:58:12 [ultranest] [DEBUG] iteration=19, ncalls=420, regioncalls=800, ndraw=40, logz=-614.16, remainder_fraction=100.0000%, Lmin=-603.93, Lmax=-14.07
10:58:20 [ultranest] [DEBUG] iteration=20, ncalls=421, regioncalls=840, ndraw=40, logz=-609.95, remainder_fraction=100.0000%, Lmin=-577.12, Lmax=-14.07
10:58:29 [ultranest] [DEBUG] iteration=21, ncalls=422, regioncalls=880, ndraw=40, logz=-583.16, remainder_fraction=100.0000%, Lmin=-570.86, Lmax=-14.07
10:58:38 [ultranest] [DEBUG] iteration=22, ncalls=423, regioncalls=920, ndraw=40, logz=-576.90, remainder_fraction=100.0000%, Lmin=-560.86, Lmax=-14.07
10:58:47 [ultranest] [DEBUG] iteration=23, ncalls=424, regioncalls=960, ndraw=40, logz=-566.91, remainder_fraction=100.0000%, Lmin=-558.68, Lmax=-14.07
10:58:57 [ultranest] [DEBUG] iteration=24, ncalls=425, regioncalls=1000, ndraw=40, logz=-564.62, remainder_fraction=100.0000%, Lmin=-554.96, Lmax=-14.07
10:59:06 [ultranest] [DEBUG] iteration=25, ncalls=426, regioncalls=1040, ndraw=40, logz=-560.98, remainder_fraction=100.0000%, Lmin=-544.61, Lmax=-14.07
10:59:23 [ultranest] [DEBUG] iteration=26, ncalls=428, regioncalls=1120, ndraw=40, logz=-550.67, remainder_fraction=100.0000%, Lmin=-541.20, Lmax=-14.07
10:59:32 [ultranest] [DEBUG] iteration=27, ncalls=429, regioncalls=1160, ndraw=40, logz=-547.22, remainder_fraction=100.0000%, Lmin=-536.55, Lmax=-14.07
10:59:41 [ultranest] [DEBUG] iteration=28, ncalls=430, regioncalls=1200, ndraw=40, logz=-542.60, remainder_fraction=100.0000%, Lmin=-529.09, Lmax=-14.07
10:59:51 [ultranest] [DEBUG] iteration=29, ncalls=431, regioncalls=1240, ndraw=40, logz=-535.16, remainder_fraction=100.0000%, Lmin=-501.98, Lmax=-14.07
11:00:00 [ultranest] [DEBUG] iteration=30, ncalls=432, regioncalls=1280, ndraw=40, logz=-508.04, remainder_fraction=100.0000%, Lmin=-498.36, Lmax=-14.07
11:00:08 [ultranest] [DEBUG] iteration=31, ncalls=433, regioncalls=1320, ndraw=40, logz=-504.40, remainder_fraction=100.0000%, Lmin=-495.72, Lmax=-14.07
11:00:18 [ultranest] [DEBUG] iteration=32, ncalls=434, regioncalls=1360, ndraw=40, logz=-501.72, remainder_fraction=100.0000%, Lmin=-495.15, Lmax=-14.07
11:00:27 [ultranest] [DEBUG] iteration=33, ncalls=435, regioncalls=1400, ndraw=40, logz=-500.75, remainder_fraction=100.0000%, Lmin=-480.34, Lmax=-14.07
11:00:36 [ultranest] [DEBUG] iteration=34, ncalls=436, regioncalls=1440, ndraw=40, logz=-486.42, remainder_fraction=100.0000%, Lmin=-479.99, Lmax=-14.07
11:00:52 [ultranest] [DEBUG] iteration=35, ncalls=438, regioncalls=1520, ndraw=40, logz=-485.53, remainder_fraction=100.0000%, Lmin=-476.25, Lmax=-14.07
11:01:02 [ultranest] [DEBUG] iteration=36, ncalls=439, regioncalls=1560, ndraw=40, logz=-482.29, remainder_fraction=100.0000%, Lmin=-472.55, Lmax=-14.07
11:01:11 [ultranest] [DEBUG] iteration=37, ncalls=440, regioncalls=1600, ndraw=40, logz=-478.60, remainder_fraction=100.0000%, Lmin=-470.26, Lmax=-14.07
11:01:20 [ultranest] [DEBUG] iteration=38, ncalls=441, regioncalls=1640, ndraw=40, logz=-476.25, remainder_fraction=100.0000%, Lmin=-458.75, Lmax=-14.07
11:01:30 [ultranest] [DEBUG] iteration=39, ncalls=442, regioncalls=1680, ndraw=40, logz=-464.83, remainder_fraction=100.0000%, Lmin=-458.71, Lmax=-14.07
11:01:38 [ultranest] [DEBUG] iteration=40, ncalls=443, regioncalls=1720, ndraw=40, logz=-464.12, remainder_fraction=100.0000%, Lmin=-457.36, Lmax=-14.07
11:01:45 [ultranest] [DEBUG] iteration=41, ncalls=444, regioncalls=1760, ndraw=40, logz=-463.04, remainder_fraction=100.0000%, Lmin=-456.08, Lmax=-14.07
11:02:06 [ultranest] [DEBUG] iteration=42, ncalls=447, regioncalls=1880, ndraw=40, logz=-461.82, remainder_fraction=100.0000%, Lmin=-455.04, Lmax=-14.07
11:02:15 [ultranest] [DEBUG] iteration=43, ncalls=448, regioncalls=1920, ndraw=40, logz=-460.73, remainder_fraction=100.0000%, Lmin=-453.25, Lmax=-14.07
11:02:23 [ultranest] [DEBUG] iteration=44, ncalls=449, regioncalls=1960, ndraw=40, logz=-459.12, remainder_fraction=100.0000%, Lmin=-451.83, Lmax=-14.07
11:02:31 [ultranest] [DEBUG] iteration=45, ncalls=450, regioncalls=2000, ndraw=40, logz=-457.66, remainder_fraction=100.0000%, Lmin=-449.53, Lmax=-14.07
11:02:41 [ultranest] [DEBUG] iteration=46, ncalls=451, regioncalls=2040, ndraw=40, logz=-455.51, remainder_fraction=100.0000%, Lmin=-442.67, Lmax=-14.07
